"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2068408";"SILICATE";"Silicate";"Small molecule";"4.0";"78.10";"5";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"77.9773";"None";"None";"H2O3Si";"O=[Si](O)O";"IJKVHSBPTUYDLN-UHFFFAOYSA-N"
"CHEMBL2109287";"TECHNETIUM TC 99M NOFETUMOMAB MERPENTAN";"NOFETUMOMAB|NOFETUMOMAB MERPENTAN 99TC|Nofetumomab merpentan 99Tc|TECHNETIUM (99MTC) NOFETUMOMAB MERPENTAN|TECHNETIUM TC 99M NOFETUMOMAB MERPENTAN|Verluma";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2107902";"TECHNETIUM TC 99M FANOLESOMAB";"ANTI-SSEA-1|FANOLESOMAB|Leutech|NEUTROSPEC|RB-5 IGM|RB5 IGM|RB5-IGM|TC 99M ANTI-SSEA-1|TC99M RB5 IGM|TECHNETIUM (99M TC) FANOLESOMAB|TECHNETIUM (99MTC) FANOLESOMAB|TECHNETIUM TC 99M FANOLESOMAB|TECHNETIUM TC-99M FANOLESOMAB";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL30008";"FLUNARIZINE";"FLUNARIZINE";"Small molecule";"4.0";"404.50";"160";"742";"5.39";"6.48";"2";"0";"1";"6";"N";"0.54";"None";"7.22";"6.17";"5.94";"3";"MOL";"0";"30";"2";"0";"1";"404.2064";"-0.98";"NEUTRAL";"C26H26F2N2";"Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1";"SMANXXCATUTDDT-QPJJXVBHSA-N"
"CHEMBL1201580";"ADALIMUMAB";"ABP-501|ABRILADA|ADALIMUMAB|ADALIMUMAB (GENETICAL RECOMBINATION)|ADALIMUMAB (HUMIRA)|ADALIMUMAB ADAZ|ADALIMUMAB ADBM|ADALIMUMAB AFZB|ADALIMUMAB AQVH|ADALIMUMAB ATTO|ADALIMUMAB BETA|ADALIMUMAB BIOSIMILAR (ALVOTECH)|ADALIMUMAB BIOSIMILAR (AVT02)|ADALIMUMAB BIOSIMILAR (CELLTRION)|ADALIMUMAB BIOSIMILAR (CT-P17)|ADALIMUMAB BIOSIMILAR (FKB-327)|ADALIMUMAB BIOSIMILAR (ZRC-3197)|ADALIMUMAB BWWD|ADALIMUMAB-ADAZ|ADALIMUMAB-ADBM|ADALIMUMAB-AFZB|ADALIMUMAB-AQVH|ADALIMUMAB-ATTO|ADALIMUMAB-BWWD|ADALIMUMAB-FKJP|AMJEVITA|AVT-02|AVT02|BCD-057|BI 695501|BI-695501|BI695501|CHS-1420|CT-P17|CYLTEZO|D2E7|EXEMPTIA|FKB-327|FKB327|GP-2017|GP2017|HADLIMA|HLX-03|HLX03|HULIO|HUMIRA|HYRIMOZ|LU-200134|LU200134|M-923|M923|MSB-11022|MSB11022|ONS-3010|TRUDEXA|YUSIMRY|ZRC-3197|ZRC3197";"Antibody";"4.0";"";"2";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1743049";"OLARATUMAB";"IMC-3G3|IMC3G3|LARTRUVO|OLARATUMAB";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL3707276";"VOSORITIDE";"BMN 111|BMN-111|VOSORITIDE|VOXZOGO";"Protein";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4297911";"SPESOLIMAB";"BI 655130|BI-655130|BI655130|SPESOLIMAB|SPESOLIMAB-SBZO|Spevigo";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1742991";"BENRALIZUMAB";"BENRALIZUMAB|BIW-8405|Benralizumab|Fasenra|MEDI-563";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201506";"GEMTUZUMAB OZOGAMICIN";"CDP-771|CMA-676|CMC-676|GEMTUZUMAB OZOGAMICIN|GEMTUZUMAB OZOGAMICIN RECOMBINANT|L01XC05|Mylotarg|WAY-CMA-676";"Antibody";"4.0";"";"2";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201821";"PALIFERMIN";"KEPIVANCE|PALIFERMIN";"Protein";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL3707229";"TEZEPELUMAB";"AMG 157|MEDI19929|TEZEPELUMAB|TEZEPELUMAB-EKKO|Tezspire";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4297734";"CRIZANLIZUMAB";"Adakveo|CRIZANLIZUMAB|CRIZANLIZUMAB TMCA|CRIZANLIZUMAB-TMCA|NVP-LXI-262|NVP-LXI262|SEG-101|SEG101|SEL-G1|SELG1|SelG1";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL3301587";"DURVALUMAB";"DURVALUMAB|Imfinzi|MEDI-4736|MEDI4736";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1314";"TIOPRONIN";"ACADIONE|CAPTIMER|NSC-760416|THIOLA|THIOLA EC|TIOPRONIN|Tiopronin";"Small molecule";"4.0";"163.20";"27";"1528";"-0.49";"66.40";"3";"3";"0";"3";"N";"0.49";"3.86";"None";"-0.53";"-3.77";"0";"MOL";"0";"10";"4";"2";"0";"163.0303";"-0.01";"ACID";"C5H9NO3S";"CC(S)C(=O)NCC(=O)O";"YTGJWQPHMWSCST-UHFFFAOYSA-N"
"CHEMBL606";"MISOPROSTOL";"Cytotec|MISOPROSTOL|MYSODELLE|SC-29333|TOPOGYNE";"Small molecule";"4.0";"382.54";"24";"111";"3.95";"83.83";"5";"2";"0";"13";"N";"0.29";"None";"None";"3.86";"3.86";"0";"MOL";"0";"27";"5";"2";"0";"382.2719";"1.41";"NEUTRAL";"C22H38O5";"CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC";"OJLOPKGSLYJEMD-URPKTTJQSA-N"
"CHEMBL2107884";"RESLIZUMAB";"CEP-38072|CINQAERO|CINQAIR|CINQUIL|DCP 835|DCP-835|RESLIZUMAB|SCH 55700|SCH-55700|SCH55700";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2108676";"ELOSULFASE ALFA";"BMN 110|BMN 110, RHGALNS, N-ACETYLGALACTOSAMINE-6-SULFATASE, CHONDROITINSULFATASE, GALACTOSE-6-SULFATE SULFATASE, EC=3.1.6.4|BMN-110|CHONDROITIN SULFATASE|CHONDROITINASE|CHONDROSULFATASE|E.C. 3.1.6.4|ELOSULFASE ALFA|RHGALNS|VIMIZIM";"Enzyme";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201566";"DARBEPOETIN ALFA";"ARANESP|ARANESP SURECLICK|DARBEPOETIN|DARBEPOETIN ALFA|DARBEPOETIN ALFA,RECOMBINANT|KRN-321|KRN321|NESP|NESPO";"Protein";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL3544926";"OBILTOXAXIMAB";"Anthim|ETI-204|OBILTOXAXIMAB";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201575";"EFALIZUMAB";"ANTI-CD11A|EFALIZUMAB|HU-1124|HU1124|RAPTIVA";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2108675";"DUPILUMAB";"DUPILUMAB|DUPIXENT|Dupilumab|REGN-668|REGN668|REGN668, SAR231893|SAR-231893|SAR231893";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL3301582";"POLATUZUMAB VEDOTIN";"ACD-79B-VCMMAE|ACD-79BVCMMAE|ACD79B-VCMMAE|ANTI-CD79B ADC|DCDS-4501A|DCDS4501A|FCU-2711|FCU2711|POLATUZUMAB VEDOTIN|POLATUZUMAB VEDOTIN PIIQ|POLATUZUMAB VEDOTIN-PIIQ|Polivy|RG-7596|RG7596|RO-5541077-000|RO-5541077000|RO5541077-000";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2109065";"DROTRECOGIN ALFA (ACTIVATED)";"ACTIVATED PROTEIN C|DROTRECOGIN ALFA|DROTRECOGIN ALFA (ACTIVATED)|DROTRECOGIN ALFA ACTIVATED|DROTRECOGIN ALFA, ACTIVATED|DROTRECOGIN-ALFA|LY-203638|LY203638|XIGRIS";"Unknown";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1743068";"SECUKINUMAB";"AIN-457|AIN457|AIN457A|COSENTYX|SECUKINUMAB";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1742994";"BRENTUXIMAB VEDOTIN";"ADCETRIS|BRENTUXIMAB VEDOTIN|BRENTUXIMAB VEDOTIN BRENTUXIMAB|CAC-10|CAC10|CAC10-1006(4)|CAC10-VCMMAE|CAC10-VCMMAE(4)|MONOCLONAL ANTIBODY SGN-30|SGN 30|SGN-35";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1743079";"TEPROTUMUMAB";"ONILCAMOTIDE|R-1507|RG-1507|RG1507|RHOC PEPTIDE VACCINE RV001V|RO-4858696|RO-4858696-000|RO-4858696000|RO4858696|RO4858696-000|RV-001|RV-001 MONOCLONAL|RV001|RV001 MONOCLONAL|TEPEZZA|TEPROTUMUMAB|TEPROTUMUMAB TRBW|TEPROTUMUMAB-TRBW|Tepezza";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1742992";"BLINATUMOMAB";"BLINATUMOMAB|MEDI-538|MT-103";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2109005";"CASTOR OIL";"BIMAYOU|CASTOR OIL|CASTOR OIL, AROMATIC|CASTOR OIL,EMULSION|CASTOR OIL,EMULSION,FLAVORED|E-1503|FEMA NO. 2263|INS NO.1503|INS-1503|OLEUM RICINI|RICINUS COMMUNIS FIBRE OIL|RICINUS COMMUNIS OIL|RICINUS COMMUNIS SEED OIL|RICINUS ZANZIBARINUS";"Small molecule";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201576";"RITUXIMAB";"ABP-798|ABP798|BI 695500|BI-695500|BI695500|BLITZIMA|CT-P10|GP2013|HS-006|HS-006 (RITUXIMAB BIOSIMILAR)|HS006|IDEC-102|IDEC-C2B8|MABTHERA|MABTHERA RITUXAN|MK-8808|PF-05280586|R-105 IDEC-102|RG-105|RHCACD20MA|RIABNI|RITEMVIA|RITUXIMAB|RITUXIMAB (GENETICAL RECOMBINATION)|RITUXIMAB ABBS|RITUXIMAB ARRX|RITUXIMAB BIOSIMILAR - CELLTRION|RITUXIMAB BIOSIMILAR -MERCK|RITUXIMAB PVVR|RITUXIMAB-ABBS|RITUXIMAB-ARRX|RITUXIMAB-BOEHRINGER INGELHEIM|RITUXIMAB-CT-P10|RITUXIMAB-PFIZER|RITUXIMAB-PVVR|RUXIENCE|Rituxan|SAIT-101|SAIT101|TRUXIMA|TUXELLA|USP MAB 001, MONOCLONAL IGG1|ZUBERITAMAB";"Antibody";"4.0";"";"2";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201587";"ALEMTUZUMAB";"ALEMTUZUMAB|ALEMTUZUMAB (GENETICAL RECOMBINATION)|ALLO 647|CAMPATH MABCAMPATH|CAMPATH-1H|Campath|Campath MabCampath, Lemtrada|GZ-402673|GZ402673|LDP-03|LEMTRADA|MABCAMPATH";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1742996";"BRODALUMAB";"AMG 827|AMG-827|BRODALUMAB|Brodalumab|KHK-4827|KHK4827|KYNTHEUM|SILIQ";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4298184";"MAFTIVIMAB";"MAFTIVIMAB|MAFTIVIMAB-EBGN|REGN-3479|REGN3479";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4297819";"ROPEGINTERFERON ALFA-2B";"AOP2014|BESREMI|Besremi|P-1101|P1101|ROPEGINTERFERON ALFA-2B|ROPEGINTERFERON ALFA-2B NJFT|ROPEGINTERFERON ALFA-2B-NJFT";"Unknown";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1743082";"TRASTUZUMAB EMTANSINE";"ADO-TRASTUZUMAB EMTANSINE|PRO-132365|RG-3502|TRASTUZUMAB EMTANSINE|TRASTUZUMAB-MCC-DM1 T-DM1";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL3545131";"ISATUXIMAB";"ISATUXIMAB|ISATUXIMAB IRFC|ISATUXIMAB-IRFC|SAR-650984|SAR650984|Sarclisa";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1743041";"MOGAMULIZUMAB";"AMG-761|KM-8761|KM8761|KW-0761|MOGAMULIZUMAB|MOGAMULIZUMAB (GENETICAL RECOMBINATION)|MOGAMULIZUMAB KPKC|MOGAMULIZUMAB-KPKC|Poteligeo";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201613";"INSULIN GLULISINE";"APIDRA|APIDRA SOLOSTAR|GLULISINE APIDRA|HMR 1964|HMR-1964|HMR1964|INS APIDRA|INS APIDRA OPTICLIK|INS APIDRA OPTISET|INS APIDRA SOLOSTAR|INSULIN GLULISINE|INSULIN GLULISINE RECOMBINANT|INSULIN, GLULISINE, HUMAN|INSULIN,GLULISINE,HUMAN|Insulin Glulisine Recombinant|Insulin glulisine recombinant";"Protein";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL4594505";"TECLISTAMAB";"BCMAxCD3|JNJ 64007957|JNJ-64007957|TECLISTAMAB|TECLISTAMAB-CQYV|Tecvayli";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201631";"INSULIN";"AFREZZA|EXUBERA|HUMULIN BR|HUMULIN R|HUMULIN R KWIKPEN|HUMULIN R PEN|Humulin|INS HUMULIN R|INSULIN|INSULIN (HUMAN)|INSULIN BOVINE|INSULIN BOVINE INSULIN|INSULIN HUMAN|INSULIN HUMAN (BIOSYNTHESIS)|INSULIN HUMAN (SYNTHESIS)|INSULIN HUMAN SEMISYNTHETIC|INSULIN RECOMBINANT HUMAN|INSULIN RECOMBINANT PURIFIED HUMAN|INSUMAN INFUSAT|Insulin Recombinant Human|Insulin recombinant human|MYXREDLIN|NOVOLIN R|Novolin|VELOSULIN BR|VELOSULIN BR HUMAN|Velosulin";"Protein";"4.0";"";"108";"495";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2096647";"LANTHANUM CARBONATE";"BAY77-1931|DILANTHANUM TRICARBONATE HYDRATE|FOZNOL|Fosrenol|LANTHANUM (III) CARBONATE HYDRATE|LANTHANUM CARBONATE|LANTHANUM CARBONATE (LA2(CO3)3)|LANTHANUM CARBONATE ANHYDROUS|LANTHANUM CARBONATE HYDRATE|LANTHANUM CARBONATE PENTAHYDRATE|LANTHANUM CARBONATE TETRAHYDRATE|LANTHANUM SESQUICARBONATE|LANTHANUM(3 ) CARBONATE|Lanthanum carbonate|PHOSBLOC";"Small molecule";"4.0";"457.84";"1";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"457.7669";"None";"None";"C3La2O9";"";""
"CHEMBL1201828";"ECULIZUMAB";"5G1.1|ABP-959|ALEXION|ECULIZUMAB|ELIZARIA|H5G1-1|H5G1.1|H5G1.1VHC+H5G1.1VLC|H5G11|SOLIRIS";"Antibody";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
