SMILES,Formula,Molecular weight,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds
O=C(CCc1cccnc1)N(Cc1cccs1)Cc1nc2CCOCc2c(=O)[nH]1,C21H22N4O3S,410.141261564,2.4607,1,6,88.18,7
COc1cccc(OC)c1-c1noc(C2CC2)c1COc1ccc(c(Cl)c1)C1(O)CN(C1)c1ncc(cc1F)C(O)=O,C30H27ClFN3O7,595.152156104,5.408700000000007,2,9,127.38,10
CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1,C22H18N4OS,386.1201321960001,4.639100000000004,2,4,70.67,5
CC(C)NCCN([C@@H]1CC[C@@]2(CC2C1)c1cccc(c1)C#N)C(=O)Nc1cc(Cl)nc(Cl)c1,C25H29Cl2N5O,485.17491590800006,5.602380000000005,2,4,81.05,7
Clc1cccc2c(ccnc12)-n1cnc2c(cc(cc12)N1CCOCC1)-c1nnc[nH]1,C22H18ClN7O,431.12613587600003,3.8488000000000033,1,7,84.75,3
Cc1cc(C)cc(c1)-c1ccc2c(NC(=O)c3ccccc3NC(=O)C=C)n[nH]c2c1,C25H22N4O2,410.17427594400004,5.223540000000004,3,3,86.88,5
CCCNC(=O)Nc1cccc(c1)-n1c(nc2cccc(Cl)c2c1=O)[C@H](C)Nc1ncnc(N)c1C#N,C25H24ClN9O2,517.1741486880002,3.9875800000000012,4,9,163.64000000000001,7
CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O)N=C(N)N,C12H20N4O7,332.1331989800001,-3.7854999999999963,7,7,200.72000000000003,6
Nc1ccc(CN[C@H]2CCC(CC2)c2ccc(c(c2-c2nnn[nH]2)S(N)(=O)=O)C(F)(F)F)cn1,C20H23F3N8O2S,496.1616776360001,2.3261000000000003,4,8,165.56,6
OC(CNCCCc1ccccc1)c1ccc(O)c2[nH]c(=O)ccc12,C20H22N2O3,338.16304256399997,2.4894999999999996,4,4,85.35,7
CC(C)(C)OC(=O)N1CCC2(CCN(C2)C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)C1,C28H31FN4O4,506.2329336920001,4.126100000000004,1,5,95.6,3
CC(C)n1nc(-c2cc3c(C)cccc3[nH]2)c2c(N)ncnc12,C17H18N6,306.159294576,3.4461200000000005,2,5,85.41,2
Clc1nc(Nc2ccc(cc2)N2CCOCC2=O)nc(n1)N1CCCC1,C17H19ClN6O2,374.12580152800007,2.2319999999999993,1,7,83.47999999999999,4
OC(c1ccc(CBr)cc1)(C(F)(F)F)C(F)(F)F,C10H7BrF6O,335.95844626400003,3.893700000000001,1,1,20.23,2
COc1cc(cn2ncnc12)-c1[nH]c2ccc(nc2c1C(C)C)N1CC(C1)NCC(=O)N(C)C,C24H30N8O2,462.24917220000003,2.271,2,8,103.67999999999999,7
