BindingDB Reactant_set_id,Ligand SMILES,Ligand InChI,Ligand InChI Key,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Target Source Organism According to Curator or DataSource,IC50 (nM)
1141734,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cn[nH]c1,,,538618,"NCGC 00262327::US11254667, Compound I-20",GTPase NRas,Homo sapiens, 33170
1141736,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cccnc1,"InChI=1S/C22H22N6O/c1-29-20-10-22-25-13-19(28(22)14-17(20)15-4-3-8-23-11-15)18-5-2-6-21(27-18)26-16-7-9-24-12-16/h2-6,8,10-11,13-14,16,24H,7,9,12H2,1H3,(H,26,27)",ZQKNIPQNEVNCDY-UHFFFAOYSA-N,538619,"NCGC 00371479::US11254667, Compound I-22",GTPase NRas,Homo sapiens, 9920
1141738,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1ccncc1,"InChI=1S/C22H22N6O/c1-29-20-11-22-25-13-19(28(22)14-17(20)15-5-8-23-9-6-15)18-3-2-4-21(27-18)26-16-7-10-24-12-16/h2-6,8-9,11,13-14,16,24H,7,10,12H2,1H3,(H,26,27)",APWFGACQYAGVJI-UHFFFAOYSA-N,538620,"NCGC 00371480::US11254667, Compound I-23",GTPase NRas,Homo sapiens, 1830
1141741,Cc1n[nH]c(C)c1-c1cn2c(cnc2cc1CO)-c1cccc(NC2CCNC2)n1,,,538622,"NCGC 00371482::US11254667, Compound I-25",GTPase NRas,Homo sapiens, 15720
1141743,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cnn(CCN2CCOCC2)c1,"InChI=1S/C26H32N8O2/c1-35-24-13-26-28-16-23(22-3-2-4-25(31-22)30-20-5-6-27-15-20)34(26)18-21(24)19-14-29-33(17-19)8-7-32-9-11-36-12-10-32/h2-4,13-14,16-18,20,27H,5-12,15H2,1H3,(H,30,31)",BSPADJDNBJNBEV-UHFFFAOYSA-N,538623,"NCGC 00371483::US11254667, Compound I-26",GTPase NRas,Homo sapiens, 15720
1141745,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cc[nH]c1,,,538624,"NCGC 00371484::US11254667, Compound I-27",GTPase NRas,Homo sapiens, 4430
1141747,Cc1noc(C)c1-c1cn2c(cnc2cc1CO)-c1cccc(NC2CCNC2)n1,"InChI=1S/C22H24N6O2/c1-13-22(14(2)30-27-13)17-11-28-19(10-24-21(28)8-15(17)12-29)18-4-3-5-20(26-18)25-16-6-7-23-9-16/h3-5,8,10-11,16,23,29H,6-7,9,12H2,1-2H3,(H,25,26)",CCZCNTFTODQIGD-UHFFFAOYSA-N,538625,"NCGC 00371488::US11254667, Compound I-28",GTPase NRas,Homo sapiens, 14820
1141749,COc1cc2ncc(-c3cccc(NC4CCCNC4)n3)n2cc1-c1cn[nH]c1,,,538626,"NCGC  00371485::US11254667, Compound I-29",GTPase NRas,Homo sapiens, 9350
1141751,CN(C1CCNC1)c1cccc(n1)-c1cnc2cc(CO)c(cn12)-c1cn[nH]c1,,,538627,"NCGC  00371487::US11254667, Compound I-31",GTPase NRas,Homo sapiens, 16630
1141753,COc1cc2ncc(-c3cccc(OC4CCNC4)n3)n2cc1-c1cn[nH]c1,,,538628,"NCGC 00371852::US11254667, Compound I-32",GTPase NRas,Homo sapiens, 3720
