Formula,Peso Molecular,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,IC50
C20H21N7O,375.18075829200006,2.5688000000000004,3,7,92.16,5,33170.0
C22H22N6O,386.185509324,3.2407000000000012,2,7,76.37,5,9920.0
C22H22N6O,386.185509324,3.2407000000000012,2,7,76.37,5,1830.0
C22H25N7O,403.2120584200001,2.66934,4,7,103.16000000000001,5,15720.0
C26H32N8O2,488.26482226400003,2.3744000000000005,2,10,93.77000000000001,8,15720.0
C21H22N6O,374.185509324,3.173800000000001,3,6,79.27000000000001,5,4430.0
C22H24N6O2,404.19607400800004,2.93424,3,8,100.51,5,14820.0
C21H23N7O,389.1964083560001,2.9589000000000008,3,7,92.16,5,9350.0
C21H23N7O,389.19640835600006,2.0767999999999995,3,7,94.37,5,16630.0
C20H20N6O2,376.16477388000004,2.5357000000000003,2,7,89.36000000000001,5,3720.0
C20H19F2N7O,411.1619146680001,2.8470000000000004,3,7,92.16,5,29760.0
C18H21N5O2,339.169524912,2.1872999999999996,2,7,72.71000000000001,5,4430.0
C20H21N7O,375.1807582920001,2.5687999999999995,3,7,92.16,5,16630.0
C18H19N9O,377.1712562280001,1.3587999999999996,3,9,117.94,5,2.0
C18H18N6O,334.154209196,2.0503799999999996,2,7,87.27000000000001,4,5580.0
C22H27ClN6O2,442.1884017840001,2.5344999999999995,2,8,75.95,7,626.0
C25H30N8O2,474.24917220000015,2.2711999999999986,3,9,104.63,8,17640.0
C15H14ClN5,299.093773128,2.4334000000000007,2,5,54.25,3,16630.0
C16H16ClN5O,329.10433781200004,2.4419999999999993,2,6,63.480000000000004,4,20930.0
C18H17N7,331.15454354400003,2.1700999999999997,3,6,82.93,4,4290.0
C19H19N7,345.1701936080001,2.1804999999999994,2,7,72.07,4,16630.0
C16H16ClN5,313.109423192,2.8235,2,5,54.25,3,1760.0
C15H12ClF2N5,335.074929504,2.7116000000000007,2,5,54.25,3,1880.0
C20H21N7O,375.18075829200006,2.5688000000000004,3,7,92.16,5,33170.0
C22H22N6O,386.185509324,3.2407000000000012,2,7,76.37,5,9920.0
C22H22N6O,386.185509324,3.2407000000000012,2,7,76.37,5,1830.0
C22H25N7O,403.2120584200001,2.66934,4,7,103.16000000000001,5,15720.0
C26H32N8O2,488.26482226400003,2.3744000000000005,2,10,93.77000000000001,8,15720.0
C21H22N6O,374.185509324,3.173800000000001,3,6,79.27000000000001,5,4430.0
C22H24N6O2,404.19607400800004,2.93424,3,8,100.51,5,14820.0
C21H23N7O,389.1964083560001,2.722600000000001,2,8,88.2,5,9350.0
C21H23N7O,389.19640835600006,2.0767999999999995,3,7,94.37,5,16630.0
C20H20N6O2,376.16477388000004,2.5357000000000003,2,7,89.36000000000001,5,3720.0
C20H19F2N7O,411.1619146680001,2.8470000000000004,3,7,92.16,5,29760.0
C18H21N5O2,339.169524912,2.1872999999999996,2,7,72.71000000000001,5,4430.0
C20H21N7O,375.1807582920001,2.5687999999999995,3,7,92.16,5,16630.0
C18H19N9O,377.1712562280001,1.3587999999999996,3,9,117.94,5,2.0
C18H18N6O,334.154209196,2.0503799999999996,2,7,87.27000000000001,4,5580.0
C22H27ClN6O2,442.1884017840001,2.5344999999999995,2,8,75.95,7,626.0
C25H30N8O2,474.24917220000015,2.2711999999999986,3,9,104.63,8,17640.0
C15H14ClN5,299.093773128,2.4334000000000007,2,5,54.25,3,16630.0
C16H16ClN5O,329.10433781200004,2.4419999999999993,2,6,63.480000000000004,4,20930.0
C18H17N7,331.15454354400003,2.1700999999999997,3,6,82.93,4,4290.0
C19H19N7,345.1701936080001,2.1804999999999994,2,7,72.07,4,16630.0
C16H16ClN5,313.109423192,2.8235,2,5,54.25,3,1760.0
C15H12ClF2N5,335.074929504,2.7116000000000007,2,5,54.25,3,1880.0
C50H63N7O8,889.473811976,5.408100000000005,3,11,175.64000000000001,10,55.0
C52H66N6O7,886.4992984520001,6.350000000000007,2,9,142.51999999999998,11,5500.0
C55H71N7O8,957.536412232,5.434600000000008,3,11,165.99,11,
C53H70N8O8,946.5316611999999,5.339900000000008,3,12,178.88000000000002,12,55.0
C50H65N7O8,891.4894620399999,5.288100000000005,3,11,175.11,10,550.0
C49H63N7O9S,925.440797596,5.168800000000005,3,12,192.71,11,55.0
C51H65N7O8,903.4894620399999,5.969100000000006,3,11,175.64000000000001,10,550.0
C51H65N7O8,903.4894620399999,5.969100000000006,3,11,175.64000000000001,10,550.0
C51H65N7O8,903.4894620399999,5.969100000000006,3,11,175.64000000000001,10,
C53H68N8O8,944.5160111359999,4.787100000000008,3,12,178.88000000000002,10,
C47H60N8O7S,880.43056726,5.159000000000006,2,12,168.29999999999998,10,550.0
C55H70N8O9,986.52657582,4.557700000000008,3,13,188.10999999999999,10,
C53H68N8O8,944.5160111359999,4.787100000000008,3,12,178.88000000000002,10,
C51H65N7O8,903.48946204,5.450600000000006,3,11,175.64,11,5500.0
C53H70N8O8,946.5316611999999,5.469700000000008,3,12,178.88000000000002,12,55.0
C52H66N8O8,930.5003610719999,5.096700000000006,3,12,178.88000000000002,10,55.0
C51H62N8O8,914.4690609439999,5.279780000000005,3,12,199.43,10,55.0
C52H67N7O7,901.510197484,5.928300000000006,3,10,156.76000000000002,10,5500.0
C53H68N8O8,944.5160111359999,4.787100000000008,3,12,178.88000000000002,10,
C49H62N10O7,902.4802943239999,3.430700000000005,3,13,195.43,8,
C50H67N9O7,905.5163454839999,4.661800000000007,3,12,174.58000000000004,10,550.0
C45H56N6O7,792.4210481319999,5.559600000000006,3,10,155.33,9,5500.0
C54H71N7O8,945.536412232,6.074700000000007,3,11,165.99,12,550.0
C51H65N7O8,903.4894620399999,5.969100000000006,3,11,175.64000000000001,10,550.0
C51H65N7O8,903.4894620399999,5.969100000000006,3,11,175.64000000000001,10,550.0
C47H60N8O7,848.45849626,4.6002000000000045,3,11,171.34,8,550.0
C52H66N6O7,886.4992984520001,6.868500000000007,2,9,142.51999999999998,10,
C51H65N7O7,887.49454742,6.263500000000007,2,10,155.41,10,550.0
C51H65N7O7,887.49454742,6.263500000000007,2,10,155.41,10,550.0
C55H72N10O7,984.5585446439998,5.997400000000007,4,13,186.61000000000004,13,
C49H63N7O8,877.473811976,5.408100000000005,3,11,175.64000000000001,12,550.0
C47H60N8O7S,880.4305672600001,5.159000000000006,2,12,168.29999999999998,10,550.0
C50H63N7O7,873.4788973560001,5.702500000000006,2,10,155.41,10,550.0
C53H68N8O7,928.521096516,5.081500000000007,2,11,158.65,10,550.0
C53H68N8O7,928.521096516,5.081500000000007,2,11,158.65,10,550.0
C54H70N8O7,942.53674658,5.642500000000007,2,11,158.65,10,55.0
C54H70N8O7,942.53674658,5.642500000000007,2,11,158.65,10,55.0
C51H65N7O7,887.49454742,6.263500000000007,2,10,155.41,10,
C54H70N8O8,958.5316611999999,5.348100000000008,3,12,178.88000000000002,10,
C50H65N7O8S,923.4615330400001,6.024200000000007,2,11,172.48,11,5500.0
C50H65N7O8S,923.4615330400001,6.024200000000007,2,11,172.48,11,5500.0
C54H71N7O9,961.5313268519999,5.959700000000007,3,11,175.22,12,5500.0
C55H72N10O7,984.5585446439998,5.997400000000007,4,13,186.61000000000004,13,55.0
C54H71N7O8,945.536412232,6.074700000000007,3,11,165.99,12,55.0
C51H66N8O7,902.5054464519999,5.323300000000006,3,11,169.65000000000003,10,55.0
C56H72N8O9,1000.5422258839999,4.947800000000007,3,13,188.10999999999999,11,
C52H67N9O7,929.5163454839999,4.476500000000007,2,12,171.54,10,
C54H70N8O8,958.5316611999999,5.348100000000008,3,12,178.88000000000002,10,
C50H65N7O9S,939.45644766,5.729800000000006,3,12,192.71,11,55.0
C50H65N7O9S,939.45644766,5.729800000000006,3,12,192.71,11,55.0
C56H72N8O7,968.5523966439999,6.176700000000007,2,11,158.65,10,55.0
C56H72N8O7,968.5523966439999,6.176700000000007,2,11,158.65,10,55.0
C55H72N8O9,988.5422258839999,5.110500000000007,3,13,188.10999999999999,12,55.0
C52H65N7O9,931.48437666,4.871900000000007,3,12,184.86999999999998,10,55.0
C52H65N7O9,931.48437666,4.871900000000007,3,12,184.86999999999998,10,55.0
C49H62N8O7,874.474146324,5.0975000000000055,2,11,168.29999999999998,10,5500.0
C50H64N8O7,888.4897963879998,4.981100000000005,4,11,178.44000000000003,10,550.0
C53H68N8O7,928.521096516,5.081500000000007,2,11,158.65,10,55.0
C52H67N9O7,929.5163454839999,4.476500000000007,2,12,171.54,10,550.0
C54H70N8O7,942.53674658,5.642500000000007,2,11,158.65,10,
C54H70N8O7,942.5367465799999,5.764100000000007,3,11,169.65000000000003,9,
C51H64N8O7,900.4897963879998,4.640700000000007,3,11,169.65000000000003,8,55.0
C46H57N7O7S,851.404018164,5.323200000000004,3,11,166.41000000000003,8,550.0
C50H63N9O6,885.4901307359999,4.330100000000006,2,11,162.31,8,550.0
C50H63N9O6,885.4901307359999,4.330100000000006,2,11,162.31,8,550.0
C52H65N7O8,915.4894620399999,5.806400000000006,3,11,175.64000000000001,9,550.0
C52H65N7O8,915.4894620399999,5.806400000000006,3,11,175.64000000000001,9,550.0
C54H71N7O9,961.5313268519999,5.959700000000007,3,11,175.22,12,550.0
C48H61N7O8,863.4581619119999,5.018000000000005,3,11,175.64000000000001,11,550.0
C50H60N8O7,884.45849626,5.500480000000005,3,11,190.19999999999996,8,55.0
C50H60N8O7,884.45849626,5.500480000000005,3,11,190.19999999999996,8,55.0
C52H68N8O8,932.5160111359999,5.331900000000006,3,12,178.88000000000002,11,55.0
C51H63N7O8,901.473811976,5.416300000000006,3,11,175.64000000000001,9,55.0
C51H65N7O8,903.4894620399999,5.6093000000000055,3,11,175.52,9,550.0
