Mol1,Mol2,Similarity
0,1,0.9546690843155031
0,2,0.9384615384615385
0,3,0.7709803921568628
0,4,0.8899835796387521
0,5,0.9486486486486486
0,6,0.698058950395399
0,7,0.9594594594594594
0,8,0.7700787401574803
0,9,0.7339158061953932
0,10,0.8637450199203187
0,11,0.75
0,12,0.8536379018612521
0,13,0.8393608074011775
0,14,0.7479338842975206
0,15,0.737012987012987
0,16,0.9492119089316988
0,17,0.6563307493540051
0,18,0.6645468998410174
0,19,0.8262867647058824
0,20,0.8058771148708815
0,21,0.7104580812445981
0,22,0.6286149162861492
0,23,0.6883018867924529
0,24,0.4919786096256685
0,25,0.47978142076502733
0,26,0.4856524093123985
0,27,0.4928076718167288
0,28,0.48731501057082455
0,29,0.4941860465116279
0,30,0.49416135881104034
0,31,0.4952025586353945
0,32,0.4954618259476775
0,33,0.49444150344097404
0,34,0.4946695095948827
0,35,0.49306296691568835
0,36,0.4946236559139785
0,37,0.498672331386086
0,38,0.49356913183279744
0,39,0.4981432360742706
0,40,0.48013064779531844
0,41,0.4970318402590394
0,42,0.4931434599156118
0,43,0.48705501618122976
0,44,0.48188209843158464
0,45,0.49973045822102424
0,46,0.48101952277657267
0,47,0.49168900804289545
0,48,0.49501312335958003
0,49,0.48870967741935484
1,2,0.9631336405529954
1,3,0.7451437451437452
1,4,0.8587662337662337
1,5,0.9824884792626728
1,6,0.6992046276211136
1,7,0.9175531914893617
1,8,0.7455113192818111
1,9,0.7000783085356304
1,10,0.8294025157232704
1,11,0.760575296108291
1,12,0.83109243697479
1,13,0.8338954468802698
1,14,0.7510407993338885
1,15,0.7399836467702371
1,16,0.9086206896551724
1,17,0.6617391304347826
1,18,0.6696070569366479
1,19,0.7921960072595281
1,20,0.7762114537444934
1,21,0.7164048865619547
1,22,0.6281560826319816
1,23,0.6907294832826748
1,24,0.48794858061060525
1,25,0.474835886214442
1,26,0.48236570808464463
1,27,0.48958889482114254
1,28,0.4841101694915254
1,29,0.48863035430988894
1,30,0.49016480595427964
1,31,0.49039487726787623
1,32,0.4906467129877071
1,33,0.4888771186440678
1,34,0.4906567004805125
1,35,0.4890432923570283
1,36,0.4929881337648328
1,37,0.493886230728336
1,38,0.4879356568364611
1,39,0.49336165693043016
1,40,0.47520435967302455
1,41,0.49378042184964843
1,42,0.48524762908324554
1,43,0.4829821717990275
1,44,0.47778981581798485
1,45,0.49648838465694217
1,46,0.47531199131850244
1,47,0.48525469168900803
1,48,0.4902785076195481
1,49,0.48465266558966075
2,3,0.74375
2,4,0.8414239482200647
2,5,0.9768732654949122
2,6,0.6964415395787945
2,7,0.9000884173297966
2,8,0.7427450980392157
2,9,0.6904388714733543
2,10,0.8198269079464988
2,11,0.7666666666666667
2,12,0.8300929839391378
2,13,0.8454312553373186
2,14,0.7584175084175084
2,15,0.7442244224422442
2,16,0.8916595012897678
2,17,0.6698943661971831
2,18,0.674493927125506
2,19,0.7892335766423357
2,20,0.7716814159292036
2,21,0.7252650176678446
2,22,0.6349574632637278
2,23,0.6903669724770642
2,24,0.48283261802575106
2,25,0.4712013165112452
2,26,0.47878128400435255
2,27,0.4844919786096257
2,28,0.4790450928381963
2,29,0.4835805084745763
2,30,0.4850905218317359
2,31,0.4868913857677903
2,32,0.4871382636655949
2,33,0.48224695283518815
2,34,0.4855614973262032
2,35,0.48394004282655245
